Season,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,TotalGoals,TotalShots,TotalShotsOnTarget,TotalFouls,TotalCorners,TotalYellowCards,TotalRedCards,GoalDifferenceAbs,DisciplineScore
2000/01,2000-09-30,Charlton,Coventry,2,2,D,0,1,A,12,10,8,6,8,16,6,6,1,2,0,0,4,22,14,24,12,3,0,0,3
2000/01,2000-09-30,Everton,Ipswich,0,3,A,0,1,A,7,9,3,7,6,5,4,1,1,0,0,0,3,16,10,11,5,1,0,3,1
2000/01,2000-09-30,Leeds,Tottenham,4,3,H,0,1,A,14,10,7,5,11,20,6,4,0,2,0,0,7,24,12,31,10,2,0,1,2
2000/01,2000-09-30,Man City,Newcastle,0,1,A,0,0,D,9,15,7,9,16,12,10,8,0,1,0,0,1,24,16,28,18,1,0,1,1
2000/01,2000-09-30,Southampton,Middlesbrough,1,3,A,0,2,A,16,7,8,5,6,22,6,6,2,2,0,0,4,23,13,28,12,4,0,2,4
2000/01,2000-09-30,West Ham,Bradford,1,1,D,1,0,H,14,9,6,6,14,10,7,2,3,2,0,0,2,23,12,24,9,5,0,0,5
2000/01,2000-10-01,Arsenal,Man United,1,0,H,1,0,H,7,13,5,4,18,17,3,11,2,3,0,0,1,20,9,35,14,5,0,1,5
2000/01,2000-10-01,Chelsea,Liverpool,3,0,H,2,0,H,11,10,5,2,14,14,3,1,1,1,0,0,3,21,7,28,4,2,0,3,2
2000/01,2000-10-01,Sunderland,Leicester,0,0,D,0,0,D,11,8,5,2,12,8,6,2,3,1,0,0,0,19,7,20,8,4,0,0,4
2000/01,2000-10-14,Arsenal,Aston Villa,1,0,H,0,0,D,16,8,10,3,12,20,7,4,1,4,0,1,1,24,13,32,11,5,1,1,10
2000/01,2000-10-14,Coventry,Tottenham,2,1,H,2,0,H,0,4,5,5,12,16,3,5,0,4,1,0,3,4,10,28,8,4,1,1,9
2000/01,2000-10-14,Everton,Southampton,1,1,D,0,0,D,7,7,3,4,16,13,9,8,1,3,0,0,2,14,7,29,17,4,0,0,4
2000/01,2000-10-14,Ipswich,West Ham,1,1,D,1,0,H,11,7,8,2,10,11,8,5,0,4,0,0,2,18,10,21,13,4,0,0,4
2000/01,2000-10-14,Leeds,Charlton,3,1,H,1,0,H,22,10,10,8,7,9,8,5,0,1,0,0,4,32,18,16,13,1,0,2,1
2000/01,2000-10-14,Leicester,Man United,0,3,A,0,1,A,10,16,4,5,8,11,6,7,0,0,0,0,3,26,9,19,13,0,0,3,0
2000/01,2000-10-14,Man City,Bradford,2,0,H,2,0,H,13,10,10,2,10,16,5,6,0,2,0,0,2,23,12,26,11,2,0,2,2
2000/01,2000-10-14,Sunderland,Chelsea,1,0,H,0,0,D,16,11,11,2,12,18,5,0,0,1,1,1,1,27,13,30,5,1,2,1,11
